day,probability,,
-158,0.0000000000000000862883002,,
-157,0.0000000000000001274210003,,
-156,0.0000000000000001877360005,,
-155,0.0000000000000002759740007,,
-154,0.0000000000000004047680010,,
-153,0.0000000000000005923230015,,
-152,0.0000000000000008648230022,,
-151,0.0000000000000012598300032,,
-150,0.0000000000000018311000047,,
-149,0.0000000000000026553900068,,
-148,0.0000000000000038420200099,,
-147,0.0000000000000055463400143,,
-146,0.0000000000000079885800206,,
-145,0.0000000000000114802000295,,
-144,0.0000000000000164605000424,,
-143,0.0000000000000235480000606,,
-142,0.0000000000000336108000865,,
-141,0.0000000000000478653001232,,
-140,0.0000000000000680109001750,,
-139,0.0000000000000964166002482,,
-138,0.0000000000001363770003510,,
-137,0.0000000000001924620004954,,
-136,0.0000000000002709980006975,,
-135,0.0000000000003807170009799,,
-134,0.0000000000005336470013735,,
-133,0.0000000000007463150019209,,
-132,0.0000000000010413700026803,,
-131,0.0000000000014497900037315,,
-130,0.0000000000020138200051832,,
-129,0.0000000000027909400071833,,
-128,0.0000000000038592000099328,,
-127,0.0000000000053242600137036,,
-126,0.0000000000073288800188631,,
-125,0.0000000000100654000259063,,
-124,0.0000000000137924000354989,,
-123,0.0000000000188567000485334,,
-122,0.0000000000257221000662035,,
-121,0.0000000000350077000901028,,
-120,0.0000000000475375001223520,,
-119,0.0000000000644057001657673,,
-118,0.0000000000870620002240801,,
-117,0.0000000001174220003022210,,
-116,0.0000000001580100004066860,,
-115,0.0000000002121460005460210,,
-114,0.0000000002841860007314380,,
-113,0.0000000003798260009775960,,
-112,0.0000000005065050013036420,,
-111,0.0000000006739030017344910,,
-110,0.0000000008945980023025160,,
-109,0.0000000011848800030496400,,
-108,0.0000000015658000040300500,,
-107,0.0000000020644900053135800,,
-106,0.0000000027158500069900500,,
-105,0.0000000035646300091746400,,
-104,0.0000000046680800120147000,,
-103,0.0000000060992900156983500,,
-102,0.0000000079512400204648900,,
-101,0.0000000103421000266185000,,
-100,0.0000000134213000345437000,,
